회사명,직무,링크,자격요건,우대사항
베링랩,데이터/ML 엔지니어,https://www.wanted.co.kr/wd/142166,"• 데이터 크롤링, 정제 및 대용량 코퍼스 전처리 경험
• 딥러닝 프레임워크의 능숙한 사용 (PyTorch or TensorFlow)
• 주도적으로 일하고 결과를 만들어내는 능력","• Multilingual NLP, neural machine translation 를 다뤄본 경험"
모아데이타,DevOps 엔지니어 | AI Lab. 빅데이터 플랫폼 개발팀,https://www.wanted.co.kr/wd/144976,"- 산업 공학, 컴퓨터 공학 등 관련 전공자
- 소프트웨어 개발 및 프로젝트 관리에 대한 광범위한 경험
- CI/CD 툴 능숙자
- 원활한 의사소통 및 프레젠테이션 기술","• 관련 전공자 
• 각종 대회 입상자"
카비(CARVI),데이터사이언티스트,https://www.wanted.co.kr/wd/60525,"- 석사(대학원) 이상 학위 소지자
- Python, R 등 통계/분석 프로그램 능숙자
- ML/DL에 대한 수학적 이해와 통계적 지식 보유자
- 분석/예측 모델 알고리즘 관련 연구 경험","• AWS 기반 데이터 분석 업무 수행 경험
• 통계학, 수학, 교통공학 전공자 우대
• 보다 뛰어난 예측 모델을 개발하기 위한 연구에 관심있는 분"
메이크잇,빅데이터 전문가,https://www.wanted.co.kr/wd/118166,"- 경력 2-5년 이상이신 분
- Python 또는 Java에 숙련된 프로그래밍 능력이 있으신 분
- 대용량 데이터 설계에 대한 기본 지식과 분산 처리 기술 관련 개발 경험이 있으신 분
- 주도적으로 문제를 발견해서 해결하고 이를 기록 및 공유하시는 분","- 금융 데이터에 대한 수집 및 가공 처리능력이 있으신 분
- 트레이딩뷰 API 사용 유경험이신 분
- NoSQL 구축 및 개발 경험 (MongoDB, ElasticSearch 등) 이 있으신 분
- Rest API 및 서비스 개발 경험이 있으신 분
- 최신 기술 동향을 놓치지 않고, 문제를 해결함에 변화를 두려워하지 않는 분"
아임토리,데이터 분석가,https://www.wanted.co.kr/wd/145610,"• 학사 이상
• 파이썬 경험자","• 석사 이상
• 데이터 분석 경험자"
아이템스카우트,[신입]데이터 애널리스트,https://www.wanted.co.kr/wd/102110,"- 특정 주제에 대한 자료 수집, 정리, 분석 등 리서치 능력을 갖추신 분
- 개발자, 디자이너, 비즈니스 담당자와의 원활한 커뮤니케이션이 가능하신 분","- 이커머스 비지니스, 마케팅, 광고 성과 측정에 대한 이해가 있으신 분
- 데이터 처리 분석을 위한 프로그래밍이 가능하신 분(Python, SQL 등)"
아이템스카우트,데이터 엔지니어,https://www.wanted.co.kr/wd/45268,"• 클라우드 환경에서 데이터 레이크하우스 개발 및 운영이 가능한 분

• 배치 또는 준실시간 데이터 처리를 해보신 분","• 머신러닝 / 데이터마이닝 / 통계 / 수학 등 관련 분야 석 / 박사 학위 또는 관련 업무 3년 이상 수행하신 분

• 대용량, 실시간 데이터 처리 아키텍처 구축과 관련된 직간접적인 경험 보유하신 분

• 머신러닝 / 딥러닝 모델 서빙 최적화 및 배포 경험 보유하신 분

• 딥러닝 혹은 머신러닝을 활용한 분석 과제 수행 또는 공모전 입상 경력이 있으신 분

• 대용량  트래픽 서비스 개발 및 운영 경험"
더플랜잇,데이터 기반 식품 개발자 (Bioinformatics Food Scientist),https://www.wanted.co.kr/wd/142279,"• 학력 및 전공: 대학교 이상 졸업, 생물정보학/생명과학/컴퓨터공학/데이터 관련 전공
• 필요경력: 신입 ~ 5년 내외인 분
• AI/ML 기반 최적화 알고리즘 구현 경험이 있으신 분
• python 및 라이브러리, RDBMS, AWS 사용 가능하신 분
• 존 시스템에 대한 이해가 빠르고 새로운 것에 대한 도전을 두려워하지 않으시는 분","• 생물정보학(Bioinformatics) 전공 석사 이상인 분
• 식품 혹은 연구 데이터 관련 개발 및 관리 업무 경험이 있는 분
•  대량의 데이터에 대한 분석 능력과 활용 능력이 탁월하신 분
•  Neo4J 등 그래프DB 사용 경험 및 활용을 하실 수 있는 분
•  요리와 식품에 관심이 많고, 좋아하시는 분
•  [병역특례] 전문연구요원 자격조건에 해당하시는 분"
샘표식품,[경영혁신본부] 데이터베이스 (DBA),https://www.wanted.co.kr/wd/91787,"ㆍ관련 경력이 5년 이상인 분
ㆍOracle, Mariadb, MSSQL등에 대한 Install, Backup, Recovery 경험이 있는 분
ㆍBackup Script, Index rebuild 구현 등 기본적인 Shell Script 능력을 보유한 분
ㆍOpen Source를 이용한 Database 성능관리 경험이 있는 분
ㆍ기초적인 쿼리 분석을 통한 튜닝 및 Index 관리 능력을 보유한 분","ㆍOracle EBS 11i 운영 및 Cloning 경험이 있는 분
ㆍMaxscale 운영 및 관리 경험이 있는 분
ㆍ기타 Open Source 기반 데이터베이스 운영 혹은 인프라 구축 경험이 있는 분

■ VISION
 o 머신러닝, 자율 데이터베이스 구현을 위한 기술 및 서비스 제공을 통해 데이터 분석 전문가로 성장"
모멘티움,데이터 분석을 통한 가치평가 모델 구축,https://www.wanted.co.kr/wd/134294,• 데이터 교육 이수,"• 데이터 교육 이수
• 관련 경력 우대"
데이터블,인플루언서 마케팅 캠페인 운영자,https://www.wanted.co.kr/wd/74543,"• 자기소개서 A4 1장 반~2장 분량 첨부 (포트폴리오가 있을 경우 함께 첨부)
• 자기소개서 작성시 아래 두 가지 질문 필수로 포함
(지원 동기, 본인이 생각하는 소셜미디어 채널에 대해 자유롭게 기술)
• 본인이 운영하는 소셜미디어 채널 1개 이상 기재(ex. 인스타그램, 블로그, 틱톡, 유튜브 등)
• 문서 활용 능력(엑셀, PPT 등) 보유","• 포토샵 사용에 능숙하신 분
• 통계 분석·리서치에 능숙하신 분
• 원활한 커뮤니케이션 능력으로 팀과 조화를 이룰 수 있는 분
• 사람 자체에 관심을 갖고 정성을 쏟을 수 있는 분
• 인스타그램을 잘 활용하시면서 인스타그래머블한 라이프를 사시는 분
• 기타 소셜미디어 채널(블로그, 유튜브, 페이스북)을 잘 활용하여 트렌디한 감각을 체득하시는 분"
데이터블,경영지원팀 팀원(신입),https://www.wanted.co.kr/wd/34344,"• 전공무관
• 학력무관","• 다수 이해관계자와 원활히 소통가능하신 분
• 워드, 엑셀 등 문서 정리에 익숙하신 분
• 신규 업무 적응도가 높으신 분"
데이터블,프론트엔드 개발자,https://www.wanted.co.kr/wd/34518,"• 총 개발 경력 3년 이상
※ 관련 경력만 인정되며, 아카데미 수료는 경력으로 인정되지 않습니다.

• Node.js, Vue.js 개발 경험

• SPA 세부 동작 설명 가능한 분

• Git 활용에 능숙하신 분","• 주도적이고 일정 관리 잘하는 분

• 취미로 개발하시는 분(사이드 프로젝트 1~2개 시도해본 적 있는 분)

• 새로운 기술 학습, 활용에 거리낌 없는 분

• Github을 SNS로 활용하시는 분"
데이터블,앱 서비스 기획자 (2년 이상),https://www.wanted.co.kr/wd/39139,"• 웹 / 모바일 서비스 기획 및 운영 경험 2년 이상
• IT / 모바일 분야에 관심이 많고, 자기 주도적으로 책임감 있게 적극적으로 업무를 진행하실 분
• 다양한 국내 및 해외 서비스를 사용해본 경험이 많은 분
• 데이터 분석을 기반으로 사용자와 제품에 대해 인사이트 도출 경험이 있으신 분","• 서비스 초기구축 부터의 기획 및 PM 경험이 있으신 분
• 한 서비스에 대해 장기간의 유지운영 경험이 있으신 분"
데이터블,프로덕트 디자이너 (UX/UI 2년 이상),https://www.wanted.co.kr/wd/39146,"• UX/UI 디자인 경력 2년 이상
• 이력서와 함께 모바일 UX/UI 관련 포트폴리오 제출 필수
• UI 디자인 및 프로토타이핑 툴(Zeplin 등)에 대한 숙련도가 높은 분
• 모바일서비스에 대한 이해도 및 경험이 높으신 분
• 모바일 UX/UI 업무와 관련 없는 포트폴리오 첨부시 서류통과가 어려울 수 있습니다.","• 인하우스 디자인 경험자
• UX기획 업무 경험자(UserFlow 설계/IA 설계/Wire Frame/Use Case 정의/UT/리서치 등 수행 경험)
• 원활한 커뮤니케이션 스킬 보유하신 분"
